HHNR;Wegnummer;Distanz_km;Emissionen;Verkehrsmittel
113758;1;13.53;3254.6512442654093;Auto
113759;1;10.347;1338.406744132509;Auto
113768;1;1.872;0.0;Zu Fuss
113768;2;1.872;0.0;Zu Fuss
113773;1;0.306;0.0;Zu Fuss
113775;1;2.033;0.0;Zu Fuss
113788;1;4.092;0.0;Zu Fuss
113788;2;0.5;0.0;Zu Fuss
113788;3;0.478;0.0;Zu Fuss
113819;1;2.459;0.0;Zu Fuss
113821;1;0.478;0.0;Zu Fuss
113822;3;5.531;739.3553568975279;Auto
113822;4;3.696;494.06208625804805;Auto
113823;3;5.027;1249.977154132751;Auto
113826;1;26.048;5605.144145655296;Auto
113826;3;1.298;0.0;Zu Fuss
113838;5;2.5;0.0;Zu Fuss
113845;1;2.0;0.0;Zu Fuss
113851;3;8.102;2262.721523731984;Auto
113852;3;1.346;0.0;Zu Fuss
113871;1;8.886;0.0;Zu Fuss
113871;3;2.0;0.0;Zu Fuss
113871;4;0.6;0.0;Zu Fuss
113872;1;2.9;0.0;Zu Fuss
113876;4;3.053;759.1367120682888;Auto
113882;1;5.466;0.0;Zu Fuss
113883;3;4.814;0.0;Zu Fuss
113886;1;4.458;0.0;Zu Fuss
113906;5;1.694;0.0;Zu Fuss
113913;1;1.0;0.0;Zu Fuss
113913;9;0.5;0.0;Zu Fuss
113955;1;3.0;137.19432018299997;Fahrzeugähnliche Geräte
113955;2;0.14;0.0;Zu Fuss
113958;4;5.526;1310.837364467478;Auto
